iter	RMSE
0	1.86423
1	1.818024112
2	1.781205816
3	1.751359895
4	1.727077474
5	1.707041082
6	1.691125668
7	1.678530862
8	1.667989782
9	1.659050508
10	1.650730847
11	1.64237235
12	1.635674366
13	1.630324361
14	1.62583757
15	1.62178085
16	1.618532408
17	1.615601026
18	1.613150241
19	1.610168801
20	1.608109901
21	1.606125961
22	1.603254609
23	1.601425838
24	1.59949086
25	1.597866357
26	1.595712469
27	1.594179944
28	1.593449172
29	1.592033586
30	1.59130798
31	1.589550833
32	1.588061142
33	1.587222475
34	1.586393927
35	1.585283347
36	1.584387947
37	1.583457443
38	1.583350649
39	1.582972607
40	1.58234281
41	1.58156015
42	1.57999303
43	1.57898126
44	1.578592009
45	1.577263619
46	1.576374273
47	1.575632388
48	1.574227294
49	1.573905273
50	1.572772979
51	1.572269381
52	1.571237708
53	1.570088423
54	1.569114525
55	1.568375491
56	1.567665699
57	1.56748382
58	1.566643629
59	1.565855841
60	1.565629165
61	1.565070254
62	1.564162507
63	1.563632848
64	1.562880363
65	1.561808514
66	1.561403099
67	1.560456282
68	1.560417533
69	1.559388349
70	1.558426074
71	1.557398898
72	1.557001238
73	1.556545519
74	1.555455191
75	1.554677909
76	1.553674634
77	1.553674634
78	1.553361435
79	1.552478651
80	1.551466679
81	1.550626092
82	1.550620747
83	1.549854507
84	1.549175054
85	1.548058874
86	1.547908176
87	1.547743876
88	1.546708018
89	1.545508187
90	1.544756331
91	1.544346724
92	1.543832577
93	1.542724513
94	1.54267349
95	1.542654955
96	1.54258552
97	1.542096991
98	1.541889001
99	1.540622236
100	1.539622922
101	1.538620509
102	1.537660009
103	1.536591849
104	1.535952758
105	1.535165216
106	1.534456441
107	1.534194985
108	1.533702626
109	1.5324789
110	1.532170471
111	1.5321529
112	1.532138936
113	1.530815855
114	1.530060821
115	1.529836478
116	1.529223674
117	1.529108084
118	1.529085231
119	1.529025414
120	1.528663062
121	1.527657434
122	1.527293496
123	1.526835798
124	1.526179409
125	1.525496951
126	1.525003766
127	1.524934154
128	1.524612968
129	1.524125778
130	1.523496517
131	1.522917832
132	1.522843277
133	1.522245802
134	1.521539383
135	1.520935278
136	1.52036703
137	1.519768195
138	1.518763768
139	1.518543385
140	1.517534622
141	1.516430562
142	1.515890518
143	1.515458467
144	1.515355486
145	1.51533968
146	1.51457469
147	1.513512406
148	1.512939008
149	1.512445431
150	1.512067943
151	1.511412122
152	1.510857714
153	1.510248187
154	1.510042027
155	1.509537618
156	1.508836825
157	1.508197985
158	1.507394864
159	1.506868115
160	1.506308675
161	1.50585256
162	1.505625807
163	1.505079434
164	1.504099611
165	1.503746152
166	1.503369698
167	1.503240396
168	1.502830354
169	1.502752245
170	1.502373371
171	1.501669816
172	1.501295493
173	1.5009806
174	1.500782739
175	1.500479917
176	1.499896468
177	1.499409036
178	1.49907492
179	1.498857956
180	1.498055187
181	1.497653564
182	1.49754254
183	1.497188986
184	1.496983701
185	1.49680178
186	1.496533908
187	1.496018733
188	1.495665853
189	1.495395369
190	1.494808443
191	1.494118748
192	1.493859423
193	1.493277858
194	1.492501347
195	1.492304092
196	1.492086077
197	1.491593947
198	1.49149854
199	1.490911602
200	1.490510556
201	1.48973502
202	1.489567002
203	1.488979225
204	1.48850014
205	1.487889295
206	1.487456168
207	1.486746299
208	1.486195607
209	1.486143279
210	1.486064949
211	1.485507079
212	1.484856875
213	1.484238256
214	1.483624807
215	1.483435474
216	1.482845476
217	1.482484724
218	1.482251878
219	1.481976387
220	1.48133722
221	1.481105287
222	1.480748249
223	1.480592009
224	1.480195406
225	1.479829286
226	1.479285285
227	1.479029007
228	1.478916616
229	1.47884208
230	1.478403589
231	1.477632427
232	1.477378311
233	1.477056838
234	1.47666697
235	1.476181618
236	1.475779309
237	1.475414049
238	1.474658821
239	1.474543293
240	1.474538852
241	1.474370515
242	1.474309596
243	1.474172679
244	1.474018158
245	1.473856803
246	1.473378145
247	1.473373938
248	1.473220818
249	1.472981166
250	1.472566058
251	1.472351263
252	1.472070474
253	1.471269669
254	1.471133194
255	1.470611996
256	1.469745649
257	1.469452648
258	1.469357618
259	1.468821338
260	1.468686328
261	1.468210546
262	1.467927641
263	1.467583228
264	1.467460007
265	1.467317893
266	1.467201356
267	1.466636833
268	1.466282942
269	1.466114948
270	1.466005493
271	1.465598363
272	1.465442668
273	1.465351253
274	1.465242082
275	1.464925396
276	1.464248555
277	1.464153784
278	1.464107575
279	1.463975274
280	1.463686272
281	1.463153109
282	1.462541128
283	1.46222771
284	1.461939661
285	1.461738236
286	1.461489537
287	1.461216598
288	1.461099819
289	1.46093455
290	1.460603793
291	1.460505041
292	1.46045521
293	1.459959908
294	1.4595625
295	1.459452005
296	1.459326516
297	1.459072963
298	1.458822064
299	1.458624946
300	1.458286687
301	1.457678386
302	1.457130215
303	1.456743054
304	1.456671275
305	1.456506739
306	1.456007464
307	1.45529523
308	1.455076215
309	1.454908693
310	1.454701489
311	1.454485891
312	1.45421498
313	1.4540286
