iter	Passed	Remaining
0	54	54903
1	60	30055
2	63	21199
3	67	16886
4	73	14606
5	76	12732
6	80	11486
7	86	10690
8	91	10057
9	97	9610
10	101	9163
11	106	8808
12	111	8436
13	116	8172
14	120	7923
15	125	7698
16	129	7510
17	134	7320
18	139	7189
19	143	7036
20	147	6879
21	152	6768
22	156	6651
23	160	6541
24	165	6444
25	169	6362
26	174	6291
27	177	6159
28	181	6080
29	186	6020
30	190	5959
31	194	5876
32	199	5839
33	203	5772
34	207	5718
35	211	5672
36	216	5637
37	220	5590
38	224	5535
39	228	5489
40	233	5463
41	238	5436
42	242	5394
43	247	5376
44	251	5341
45	256	5311
46	260	5276
47	265	5270
48	270	5249
49	274	5220
50	279	5194
51	283	5173
52	288	5148
53	293	5136
54	297	5110
55	302	5096
56	306	5077
57	311	5065
58	316	5045
59	321	5034
60	325	5016
61	330	4998
62	333	4959
63	336	4915
64	341	4905
65	345	4884
66	349	4864
67	353	4840
68	357	4819
69	360	4783
70	363	4762
71	367	4742
72	372	4727
73	376	4714
74	381	4703
75	385	4686
76	387	4648
77	391	4629
78	395	4613
79	399	4592
80	403	4582
81	408	4578
82	413	4567
83	417	4557
84	420	4525
85	422	4493
86	427	4488
87	432	4482
88	437	4477
89	443	4479
90	447	4471
91	452	4470
92	455	4438
93	459	4431
94	464	4427
95	468	4414
96	473	4406
97	479	4412
98	484	4408
99	489	4407
100	494	4397
101	498	4387
102	502	4374
103	506	4365
104	511	4356
105	516	4353
106	520	4347
107	525	4341
108	528	4321
109	532	4306
110	534	4278
111	538	4267
112	542	4254
113	545	4242
114	550	4237
115	555	4230
116	560	4227
117	565	4228
118	570	4223
119	572	4197
120	577	4195
121	582	4191
122	586	4182
123	591	4176
124	595	4166
125	599	4161
126	604	4155
127	608	4144
128	612	4134
129	616	4127
130	622	4127
131	626	4118
132	630	4113
133	632	4084
134	636	4077
135	639	4060
136	644	4059
137	649	4056
138	651	4032
139	657	4036
140	661	4032
141	667	4030
142	671	4022
143	676	4021
144	680	4012
145	685	4009
146	688	3992
147	693	3993
148	697	3984
149	701	3977
150	706	3974
151	711	3970
152	716	3966
153	720	3958
154	725	3953
155	730	3950
156	731	3926
157	736	3923
158	741	3919
159	745	3913
160	749	3907
161	753	3896
162	757	3889
163	760	3875
164	763	3864
165	768	3858
166	772	3853
167	777	3851
168	782	3845
169	786	3840
170	789	3829
171	793	3820
172	796	3805
173	800	3801
174	804	3794
175	809	3788
176	812	3778
177	816	3772
178	821	3768
179	826	3764
180	831	3760
181	833	3748
182	839	3749
183	844	3744
184	846	3727
185	848	3714
186	853	3712
187	855	3696
188	860	3690
189	864	3685
190	869	3682
191	874	3679
192	878	3675
193	882	3667
194	884	3653
195	888	3646
196	893	3642
197	898	3637
198	902	3633
199	907	3629
200	911	3622
201	915	3617
202	919	3608
203	923	3603
204	928	3599
205	930	3586
206	935	3585
207	941	3583
208	946	3580
209	950	3577
210	956	3574
211	960	3570
212	964	3563
213	969	3559
214	974	3558
215	979	3553
216	982	3546
217	986	3540
218	991	3536
