,Faculty,Programming Experience,Python Level,DS/ML Course,Familiarity with ChatGPT
0,факультет экономических наук,No programming experience,not familiar with Python,no DS/ML course,No
1,Факультет Санкт-Петербургская школа экономики и менеджмента,R,not familiar with Python,DS/ML course in HSE,No
2,Высшая школа бизнеса,Python,beginner level (had an introductory Python course),no DS/ML course,Yes
3,факультет социальных наук,"Python, R",beginner level (had an introductory Python course),no DS/ML course,Yes
4,Высшая школа бизнеса,Python,advance (use Python to earn money),DS/ML course in HSE,Yes
5,Высшая школа бизнеса,Python,advance (use Python to earn money),DS/ML course in HSE,Yes
6,Высшая школа бизнеса,"Python, R",advance (use Python to earn money),DS/ML course in HSE,Yes
7,Факультет Санкт-Петербургская школа экономики и менеджмента,"Python, R",good familiarity (use Python in more than one edu courses),DS/ML course in HSE,Yes
8,факультет социальных наук,R,not familiar with Python,no DS/ML course,Yes
9,факультет экономических наук,No programming experience,not familiar with Python,no DS/ML course,Yes
10,Высшая школа бизнеса,Python,good familiarity (use Python in more than one edu courses),DS/ML course in HSE,Yes
11,Факультет Санкт-Петербургская школа экономики и менеджмента,R,,DS/ML course on MOOCs platforms,No
12,факультет социальных наук,"Python, R, Jamovi, but I need to recall the knowledge that I have (for all programming language)",beginner level (had an introductory Python course),DS/ML course in HSE,Yes
13,Факультет Санкт-Петербургская школа социальных наук и востоковедения,"Python, R",good familiarity (use Python in more than one edu courses),DS/ML course in HSE,Yes
14,факультет креативных индустрий,No programming experience,not familiar with Python,no DS/ML course,Yes
15,факультет социальных наук,"Python, R",beginner level (had an introductory Python course),DS/ML course on MOOCs platforms,Yes
16,Факультет Санкт-Петербургская школа экономики и менеджмента,"Python, R",beginner level (had an introductory Python course),DS/ML course in HSE,Yes
17,Факультет Санкт-Петербургская школа социальных наук и востоковедения,"Python, R",beginner level (had an introductory Python course),DS/ML course in HSE,No
18,Факультет Санкт-Петербургская школа экономики и менеджмента,"Python, R",beginner level (had an introductory Python course),DS/ML course in HSE,Yes
19,факультет экономических наук,"Python, C++, Pascal",good familiarity (use Python in more than one edu courses),Had an experience during bachelor thesis,Yes
20,Факультет Санкт-Петербургская школа социальных наук и востоковедения,"Python, R",beginner level (had an introductory Python course),no DS/ML course,Yes
21,Высшая школа бизнеса,Python,advance (use Python to earn money),DS/ML course in HSE,Yes
22,Other,No programming experience,,no DS/ML course,Yes
23,факультет креативных индустрий,No programming experience,beginner level (had an introductory Python course),no DS/ML course,Yes
24,Факультет Санкт-Петербургская школа экономики и менеджмента,"Python, R",beginner level (had an introductory Python course),DS/ML course in HSE,Yes
25,Магистерская школа,No programming experience,not familiar with Python,no DS/ML course,No
26,Факультет Санкт-Петербургская школа экономики и менеджмента,Python,beginner level (had an introductory Python course),no DS/ML course,No
27,факультет компьютерных наук,"Python, C++",good familiarity (use Python in more than one edu courses),no DS/ML course,Yes
28,Факультет Санкт-Петербургская школа экономики и менеджмента,No programming experience,not familiar with Python,no DS/ML course,No
29,Высшая школа бизнеса,"Python, R, Java",beginner level (had an introductory Python course),no DS/ML course,Yes
30,Высшая школа бизнеса,No programming experience,not familiar with Python,no DS/ML course,Yes
31,факультет компьютерных наук,"Python, R",advance (use Python to earn money),DS/ML course in HSE,Yes
32,Факультет Санкт-Петербургская школа экономики и менеджмента,"Python, R",good familiarity (use Python in more than one edu courses),DS/ML course in HSE,Yes
33,Факультет Санкт-Петербургская школа экономики и менеджмента,Python,beginner level (had an introductory Python course),DS/ML course in HSE,No
