store_sales(in millions),unit_sales(in millions),total_children,num_children_at_home,avg_cars_at home(approx).1,gross_weight,recyclable_package,low_fat,units_per_case,store_sqft,coffee_bar,video_store,salad_bar,prepared_food,florist,cost
2.68,2.0,1.0,0.0,2.0,6.3,1.0,0.0,22.0,30584.0,1.0,1.0,1.0,1.0,1.0,79.59
5.73,3.0,5.0,5.0,3.0,18.7,1.0,0.0,30.0,20319.0,0.0,0.0,0.0,0.0,0.0,118.36
2.62,2.0,1.0,1.0,1.0,9.21,0.0,0.0,9.0,20319.0,0.0,0.0,0.0,0.0,0.0,67.2
11.73,3.0,1.0,1.0,3.0,10.9,1.0,1.0,15.0,23112.0,1.0,1.0,1.0,1.0,1.0,60.87
4.82,2.0,1.0,1.0,3.0,8.15,0.0,0.0,7.0,38382.0,0.0,0.0,0.0,0.0,0.0,86.79
18.95,5.0,4.0,0.0,3.0,16.3,1.0,0.0,5.0,23593.0,0.0,0.0,0.0,0.0,0.0,103.9
3.5,2.0,0.0,0.0,4.0,13.2,1.0,0.0,9.0,27694.0,1.0,1.0,1.0,1.0,1.0,50.79
1.1,2.0,2.0,2.0,3.0,15.9,0.0,0.0,29.0,33858.0,1.0,0.0,1.0,1.0,1.0,55.18
7.14,3.0,0.0,0.0,3.0,16.0,1.0,0.0,16.0,23598.0,0.0,0.0,0.0,0.0,1.0,101.84
4.52,4.0,3.0,2.0,3.0,14.1,1.0,0.0,15.0,34791.0,0.0,0.0,1.0,1.0,0.0,137.55
9.54,3.0,3.0,3.0,3.0,21.1,1.0,1.0,30.0,20319.0,0.0,0.0,0.0,0.0,0.0,52.06
6.63,3.0,2.0,1.0,4.0,21.3,0.0,0.0,25.0,30268.0,0.0,0.0,0.0,0.0,0.0,116.74
10.28,4.0,4.0,3.0,4.0,15.2,1.0,0.0,6.0,30797.0,1.0,1.0,1.0,1.0,1.0,76.88
6.3,3.0,1.0,0.0,3.0,11.5,0.0,0.0,13.0,39696.0,0.0,0.0,1.0,1.0,0.0,129.5
3.06,2.0,3.0,0.0,2.0,6.32,0.0,0.0,33.0,23112.0,1.0,1.0,1.0,1.0,1.0,142.71
4.68,2.0,1.0,1.0,3.0,8.62,0.0,1.0,3.0,36509.0,0.0,0.0,0.0,0.0,0.0,97.34
2.73,3.0,2.0,0.0,2.0,11.6,0.0,0.0,33.0,30268.0,0.0,0.0,0.0,0.0,0.0,97.45
4.6,5.0,2.0,1.0,1.0,20.6,0.0,0.0,31.0,23688.0,1.0,1.0,1.0,1.0,1.0,126.88
11.4,3.0,4.0,0.0,0.0,13.7,1.0,0.0,12.0,23593.0,0.0,0.0,0.0,0.0,0.0,55.22
7.68,3.0,2.0,1.0,2.0,8.6,0.0,1.0,10.0,23112.0,1.0,1.0,1.0,1.0,1.0,97.13
2.86,2.0,3.0,0.0,1.0,12.8,0.0,1.0,25.0,33858.0,1.0,0.0,1.0,1.0,1.0,71.51
7.35,3.0,2.0,1.0,3.0,18.2,0.0,1.0,16.0,30268.0,0.0,0.0,0.0,0.0,0.0,93.07
10.16,4.0,1.0,1.0,2.0,21.0,1.0,1.0,25.0,23598.0,0.0,0.0,0.0,0.0,1.0,61.65
1.36,2.0,2.0,2.0,0.0,10.2,1.0,0.0,25.0,23598.0,0.0,0.0,0.0,0.0,1.0,131.81
3.81,3.0,5.0,0.0,1.0,10.2,1.0,1.0,17.0,39696.0,0.0,0.0,1.0,1.0,0.0,84.97
1.58,2.0,2.0,0.0,2.0,14.1,1.0,0.0,10.0,23112.0,1.0,1.0,1.0,1.0,1.0,53.21
7.8,3.0,5.0,4.0,3.0,19.3,0.0,0.0,4.0,27694.0,1.0,1.0,1.0,1.0,1.0,59.86
4.44,3.0,1.0,0.0,1.0,18.2,0.0,1.0,9.0,21215.0,1.0,0.0,0.0,0.0,0.0,59.19
4.2,3.0,3.0,0.0,3.0,7.87,0.0,0.0,27.0,30268.0,0.0,0.0,0.0,0.0,0.0,135.5
9.32,4.0,3.0,0.0,4.0,6.86,1.0,1.0,28.0,23759.0,1.0,0.0,1.0,1.0,1.0,106.73
5.55,3.0,3.0,0.0,2.0,18.5,0.0,0.0,8.0,23759.0,1.0,0.0,1.0,1.0,1.0,121.93
2.88,3.0,1.0,1.0,1.0,19.9,0.0,0.0,11.0,39696.0,0.0,0.0,1.0,1.0,0.0,118.25
10.5,3.0,2.0,0.0,1.0,15.4,0.0,1.0,19.0,27694.0,1.0,1.0,1.0,1.0,1.0,144.38
11.58,3.0,4.0,0.0,1.0,17.3,0.0,0.0,34.0,36509.0,0.0,0.0,0.0,0.0,0.0,104.41
2.8,2.0,3.0,0.0,3.0,21.3,1.0,1.0,31.0,21215.0,1.0,0.0,0.0,0.0,0.0,114.01
8.61,3.0,1.0,0.0,3.0,17.1,0.0,0.0,34.0,30797.0,1.0,1.0,1.0,1.0,1.0,92.57
4.7,2.0,1.0,0.0,2.0,9.06,1.0,0.0,2.0,30797.0,1.0,1.0,1.0,1.0,1.0,110.56
5.85,3.0,3.0,1.0,4.0,10.1,1.0,1.0,35.0,39696.0,0.0,0.0,1.0,1.0,0.0,106.2
3.75,3.0,4.0,0.0,1.0,10.4,0.0,0.0,31.0,23598.0,0.0,0.0,0.0,0.0,1.0,61.65
4.52,2.0,3.0,0.0,1.0,14.8,1.0,0.0,20.0,23598.0,0.0,0.0,0.0,0.0,1.0,58.16
1.04,2.0,4.0,0.0,2.0,8.17,1.0,0.0,1.0,23688.0,1.0,1.0,1.0,1.0,1.0,101.84
8.64,3.0,2.0,0.0,2.0,12.3,0.0,0.0,5.0,20319.0,0.0,0.0,0.0,0.0,0.0,126.24
15.76,4.0,4.0,3.0,3.0,14.3,1.0,0.0,3.0,30268.0,0.0,0.0,0.0,0.0,0.0,133.42
6.28,2.0,3.0,2.0,2.0,10.3,0.0,0.0,15.0,30268.0,0.0,0.0,0.0,0.0,0.0,62.26
5.24,4.0,1.0,0.0,3.0,9.8,1.0,1.0,20.0,30584.0,1.0,1.0,1.0,1.0,1.0,141.38
10.2,3.0,3.0,0.0,1.0,20.0,1.0,1.0,22.0,27694.0,1.0,1.0,1.0,1.0,1.0,95.78
6.4,4.0,1.0,0.0,4.0,13.6,0.0,0.0,31.0,30797.0,1.0,1.0,1.0,1.0,1.0,92.57
3.48,3.0,0.0,0.0,0.0,15.3,0.0,0.0,32.0,30584.0,1.0,1.0,1.0,1.0,1.0,91.58
2.76,3.0,3.0,3.0,3.0,6.63,1.0,0.0,35.0,30584.0,1.0,1.0,1.0,1.0,1.0,105.28
12.48,4.0,2.0,1.0,1.0,7.91,1.0,0.0,13.0,23112.0,1.0,1.0,1.0,1.0,1.0,53.21
11.31,3.0,2.0,0.0,2.0,8.39,1.0,0.0,21.0,39696.0,0.0,0.0,1.0,1.0,0.0,109.14
5.58,3.0,3.0,0.0,1.0,9.85,0.0,1.0,28.0,30797.0,1.0,1.0,1.0,1.0,1.0,53.29
4.54,2.0,2.0,2.0,3.0,12.3,0.0,1.0,3.0,30797.0,1.0,1.0,1.0,1.0,1.0,83.55
6.9,3.0,3.0,3.0,1.0,9.43,1.0,0.0,20.0,27694.0,1.0,1.0,1.0,1.0,1.0,54.11
7.68,2.0,3.0,0.0,3.0,12.4,0.0,0.0,21.0,23759.0,1.0,0.0,1.0,1.0,1.0,75.76
9.76,4.0,3.0,1.0,4.0,7.28,1.0,0.0,27.0,39696.0,0.0,0.0,1.0,1.0,0.0,106.1
5.73,3.0,2.0,0.0,3.0,7.65,1.0,0.0,28.0,30584.0,1.0,1.0,1.0,1.0,1.0,54.36
8.44,4.0,4.0,1.0,2.0,16.5,0.0,0.0,4.0,30584.0,1.0,1.0,1.0,1.0,1.0,105.28
2.8,4.0,4.0,1.0,3.0,13.9,0.0,0.0,30.0,23598.0,0.0,0.0,0.0,0.0,1.0,107.89
7.41,3.0,1.0,0.0,1.0,20.1,0.0,0.0,34.0,20319.0,0.0,0.0,0.0,0.0,0.0,140.19
2.88,4.0,5.0,0.0,2.0,19.6,1.0,1.0,24.0,21215.0,1.0,0.0,0.0,0.0,0.0,69.63
6.33,3.0,2.0,1.0,2.0,17.6,1.0,1.0,36.0,27694.0,1.0,1.0,1.0,1.0,1.0,131.75
8.67,3.0,3.0,3.0,4.0,18.9,1.0,0.0,23.0,20319.0,0.0,0.0,0.0,0.0,0.0,117.4
5.94,2.0,3.0,0.0,3.0,13.5,0.0,1.0,15.0,39696.0,0.0,0.0,1.0,1.0,0.0,115.05
7.02,3.0,4.0,2.0,3.0,17.0,1.0,1.0,31.0,27694.0,1.0,1.0,1.0,1.0,1.0,59.86
5.02,2.0,1.0,1.0,2.0,9.31,0.0,1.0,7.0,21215.0,1.0,0.0,0.0,0.0,0.0,90.58
3.72,3.0,1.0,0.0,2.0,10.2,0.0,0.0,23.0,23688.0,1.0,1.0,1.0,1.0,1.0,68.84
9.75,3.0,1.0,0.0,4.0,11.3,1.0,0.0,24.0,30268.0,0.0,0.0,0.0,0.0,0.0,100.91
4.17,3.0,3.0,1.0,3.0,8.7,0.0,0.0,8.0,23759.0,1.0,0.0,1.0,1.0,1.0,121.93
8.43,3.0,3.0,0.0,1.0,19.6,0.0,0.0,3.0,38382.0,0.0,0.0,0.0,0.0,0.0,94.79
1.2,2.0,2.0,1.0,4.0,8.6,0.0,1.0,26.0,23112.0,1.0,1.0,1.0,1.0,1.0,144.54
4.38,3.0,3.0,0.0,4.0,18.3,1.0,1.0,24.0,33858.0,1.0,0.0,1.0,1.0,1.0,69.65
9.12,4.0,5.0,0.0,2.0,12.3,0.0,0.0,5.0,23112.0,1.0,1.0,1.0,1.0,1.0,138.18
