iter	Passed	Remaining
0	128	128582
1	210	105061
2	285	95002
3	357	88946
4	442	88126
5	517	85803
6	588	83444
7	659	81831
8	733	80818
9	799	79165
10	871	78372
11	944	77793
12	1010	76746
13	1075	75762
14	1132	74395
15	1194	73444
16	1268	73345
17	1339	73103
18	1418	73252
19	1481	72607
20	1548	72169
21	1616	71854
22	1684	71561
23	1757	71480
24	1828	71329
25	1888	70741
26	1960	70646
27	2025	70310
28	2091	70025
29	2153	69618
30	2214	69221
31	2288	69223
32	2368	69416
33	2441	69373
34	2523	69585
35	2598	69589
36	2670	69517
37	2737	69292
38	2763	68094
39	2829	67901
40	2902	67879
41	2974	67842
42	3035	67558
43	3106	67504
44	3173	67344
45	3243	67261
46	3310	67119
47	3388	67200
48	3465	67255
49	3526	67011
50	3587	66756
51	3654	66631
52	3717	66416
53	3788	66362
54	3860	66332
55	3918	66051
56	3982	65886
57	4054	65845
58	4125	65793
59	4192	65683
60	4260	65584
61	4323	65407
62	4390	65296
63	4469	65367
64	4536	65258
65	4599	65091
66	4667	64993
67	4735	64902
68	4787	64600
69	4849	64424
70	4922	64406
71	4987	64282
72	5047	64095
73	5111	63956
74	5169	63761
75	5242	63742
76	5314	63702
77	5330	63012
78	5396	62916
79	5466	62863
80	5533	62784
81	5607	62771
82	5623	62127
83	5691	62061
84	5761	62023
85	5826	61920
86	5879	61696
87	5954	61711
88	6026	61687
89	6098	61657
90	6166	61594
91	6245	61638
92	6313	61578
93	6386	61558
94	6464	61583
95	6502	61233
96	6567	61135
97	6650	61214
98	6706	61033
99	6769	60923
100	6835	60842
101	6896	60718
102	6965	60664
103	7038	60641
104	7111	60613
105	7177	60538
106	7234	60375
107	7309	60368
108	7377	60305
109	7451	60287
110	7525	60275
111	7575	60060
112	7601	59665
113	7676	59658
114	7737	59547
115	7800	59444
116	7866	59370
117	7942	59366
118	7996	59202
119	8036	58935
120	8107	58895
121	8174	58830
122	8250	58828
123	8321	58786
124	8397	58785
125	8476	58794
126	8563	58862
127	8649	58925
128	8722	58893
129	8792	58840
130	8868	58827
131	8940	58793
132	8999	58668
133	9061	58559
134	9131	58509
135	9195	58420
136	9258	58324
137	9329	58277
138	9408	58277
139	9478	58224
140	9554	58205
141	9616	58107
142	9683	58034
143	9765	58047
