,laptop_ID,Company,TypeName,Inches,Ram,OpSys,Weight,Price_euros,height,width,Cpu Speed GHz,Cpu Company,has_SSD,has_HDD,GpuManufacturer
0,1,Other,Ultrabook,13.3,8,Other,1.37,1339.69,2560,1600,2.3,Intel,1,0,Intel
1,2,Other,Ultrabook,13.3,8,Other,1.34,898.94,1440,900,1.8,Intel,0,0,Intel
2,3,HP,Notebook,15.6,8,Other,1.86,575.0,1920,1080,2.5,Intel,1,0,Intel
3,4,Other,Ultrabook,15.4,16,Other,1.83,2537.45,2880,1800,2.7,Intel,1,0,AMD
4,5,Other,Ultrabook,13.3,8,Other,1.37,1803.6,2560,1600,3.1,Intel,1,0,Intel
5,6,Acer,Notebook,15.6,4,Windows 10,2.1,400.0,1366,768,3.0,AMD,0,1,AMD
6,7,Other,Ultrabook,15.4,16,Other,2.04,2139.97,2880,1800,2.2,Intel,0,0,Intel
7,8,Other,Ultrabook,13.3,8,Other,1.34,1158.7,1440,900,1.8,Intel,0,0,Intel
8,9,Asus,Ultrabook,14.0,16,Windows 10,1.3,1495.0,1920,1080,1.8,Intel,1,0,Nvidia
9,10,Acer,Ultrabook,14.0,8,Windows 10,1.6,770.0,1920,1080,1.6,Intel,1,0,Intel
10,11,HP,Notebook,15.6,4,Other,1.86,393.9,1366,768,2.5,Intel,0,1,Intel
11,12,HP,Notebook,15.6,4,Other,1.86,344.99,1920,1080,2.0,Intel,0,1,Intel
12,13,Other,Ultrabook,15.4,16,Other,1.83,2439.97,2880,1800,2.8,Intel,1,0,AMD
13,14,Dell,Notebook,15.6,4,Windows 10,2.2,498.9,1920,1080,2.0,Intel,1,0,AMD
14,15,Other,Ultrabook,12.0,8,Other,0.92,1262.4,2304,1440,1.2,Intel,1,0,Intel
15,16,Other,Ultrabook,13.3,8,Other,1.37,1518.55,2560,1600,2.3,Intel,1,0,Intel
16,17,Dell,Notebook,15.6,8,Windows 10,2.2,745.0,1920,1080,2.7,Intel,1,0,AMD
17,18,Other,Ultrabook,15.4,16,Other,1.83,2858.0,2880,1800,2.9,Intel,1,0,AMD
18,19,Lenovo,Notebook,15.6,8,Other,2.2,499.0,1920,1080,2.4,Intel,0,1,Nvidia
19,20,Dell,Ultrabook,13.3,8,Windows 10,1.22,979.0,1920,1080,1.6,Intel,1,0,Intel
20,21,Asus,Netbook,11.6,2,Windows 10,0.98,191.9,1366,768,1.44,Intel,0,0,Intel
21,22,Lenovo,Gaming,15.6,8,Windows 10,2.5,999.0,1920,1080,2.5,Intel,1,1,Nvidia
22,23,HP,Notebook,15.6,4,Other,1.86,258.0,1366,768,1.5,AMD,0,1,AMD
23,24,Dell,2 in 1 Convertible,13.3,8,Windows 10,1.62,819.0,1920,1080,1.6,Intel,1,0,Intel
24,25,HP,Ultrabook,15.6,8,Windows 10,1.91,659.0,1920,1080,1.8,Intel,1,0,Intel
25,26,Dell,Notebook,15.6,4,Windows 10,2.3,418.64,1366,768,2.0,Intel,0,1,Intel
26,27,Other,Ultrabook,13.3,8,Other,1.35,1099.0,1440,900,1.6,Intel,0,0,Intel
27,28,Dell,Notebook,15.6,8,Windows 10,2.2,800.0,1920,1080,1.6,Intel,1,0,AMD
28,29,Dell,Ultrabook,15.6,8,Windows 10,1.88,1298.0,1920,1080,1.9,Intel,1,0,Intel
