spends_0,spends_1,spends_2,purchases_0,purchases_1,purchases_2,cltv
654.06,0.0,0.0,1.0,0.0,0.0,654.06
1008.744,735.141,0.0,1.0,1.0,0.0,1743.885
979.638,0.0,0.0,1.0,0.0,0.0,979.638
104.841,0.0,0.0,1.0,0.0,0.0,104.841
1533.906,0.0,0.0,1.0,0.0,0.0,3361.38
2352.603,0.0,0.0,2.0,0.0,0.0,2352.603
1477.608,0.0,466.488,2.0,0.0,1.0,2342.406
363.33,0.0,0.0,1.0,0.0,0.0,1344.75
637.395,0.0,0.0,1.0,0.0,0.0,1349.04
539.517,644.358,0.0,1.0,1.0,0.0,2053.7219999999998
1064.5140000000001,0.0,0.0,1.0,0.0,0.0,1064.5140000000001
1106.556,0.0,0.0,1.0,0.0,0.0,1106.556
2081.31,0.0,0.0,1.0,0.0,0.0,2081.31
749.826,0.0,0.0,1.0,0.0,0.0,749.826
931.59,0.0,0.0,1.0,0.0,0.0,931.59
2200.737,0.0,1503.249,1.0,0.0,1.0,3703.986
1042.8,0.0,0.0,2.0,0.0,0.0,2081.772
906.939,0.0,0.0,2.0,0.0,0.0,906.939
590.7,0.0,0.0,1.0,0.0,0.0,590.7
757.251,0.0,0.0,1.0,0.0,0.0,757.251
1355.31,1157.64,0.0,1.0,1.0,0.0,2512.95
718.7729999999999,0.0,0.0,1.0,0.0,0.0,718.7729999999999
1099.56,1071.51,0.0,1.0,1.0,0.0,2171.0699999999997
757.647,0.0,0.0,1.0,0.0,0.0,757.647
1394.382,0.0,0.0,1.0,0.0,0.0,1394.382
333.96,0.0,0.0,1.0,0.0,0.0,333.96
1018.644,0.0,0.0,1.0,0.0,0.0,1018.644
1067.946,1894.827,0.0,1.0,1.0,0.0,5230.3679999999995
1128.27,0.0,0.0,1.0,0.0,0.0,1128.27
988.284,2051.808,1156.782,2.0,4.0,3.0,9521.985
2056.659,0.0,0.0,2.0,0.0,0.0,41856.903
1116.885,1004.52,1177.77,1.0,1.0,2.0,3299.175
1065.075,0.0,0.0,1.0,0.0,0.0,1065.075
2599.641,0.0,1810.875,2.0,0.0,1.0,7313.031
186.12,0.0,0.0,1.0,0.0,0.0,186.12
936.2429999999999,0.0,0.0,1.0,0.0,0.0,936.2429999999999
2312.64,578.16,0.0,2.0,1.0,0.0,2890.7999999999997
377.19,0.0,0.0,1.0,0.0,0.0,377.19
689.9639999999999,0.0,831.27,1.0,0.0,1.0,2686.332
2324.85,0.0,0.0,1.0,0.0,0.0,2324.85
891.627,0.0,0.0,1.0,0.0,0.0,2427.5460000000003
687.588,0.0,0.0,1.0,0.0,0.0,687.588
1205.391,0.0,0.0,1.0,0.0,0.0,1205.391
588.753,0.0,0.0,1.0,0.0,0.0,588.753
1034.517,0.0,0.0,1.0,0.0,0.0,1034.517
1751.607,0.0,1582.5149999999999,1.0,0.0,1.0,3334.122
1352.01,937.9590000000001,0.0,1.0,1.0,0.0,2289.969
391.875,0.0,0.0,1.0,0.0,0.0,391.875
663.927,0.0,0.0,1.0,0.0,0.0,663.927
2960.925,0.0,0.0,1.0,0.0,0.0,2960.925
354.585,0.0,0.0,1.0,0.0,0.0,354.585
1043.658,0.0,0.0,1.0,0.0,0.0,1043.658
233.64,471.30600000000004,1743.291,2.0,1.0,1.0,3602.082
813.4830000000001,0.0,0.0,2.0,0.0,0.0,813.4830000000001
1149.06,0.0,0.0,1.0,0.0,0.0,1149.06
2009.7330000000002,0.0,0.0,1.0,0.0,0.0,3378.474
1103.982,0.0,0.0,1.0,0.0,0.0,1103.982
2110.812,0.0,1773.75,1.0,0.0,1.0,3884.562
924.165,0.0,0.0,1.0,0.0,0.0,2339.37
456.555,0.0,469.26,1.0,0.0,1.0,925.815
5732.892,10607.256,0.0,3.0,1.0,0.0,37537.104
328.944,0.0,0.0,2.0,0.0,0.0,328.944
864.501,0.0,0.0,1.0,0.0,0.0,864.501
1084.809,246.51,0.0,2.0,1.0,0.0,1331.319
1450.68,0.0,0.0,1.0,0.0,0.0,1450.68
1919.4779999999998,1203.345,0.0,1.0,1.0,0.0,4721.838
531.135,0.0,0.0,1.0,0.0,0.0,531.135
235.62,0.0,0.0,1.0,0.0,0.0,235.62
1011.912,0.0,0.0,1.0,0.0,0.0,1011.912
544.5,0.0,0.0,1.0,0.0,0.0,544.5
3437.511,0.0,1170.576,2.0,0.0,1.0,4608.0869999999995
572.187,0.0,0.0,1.0,0.0,0.0,572.187
819.786,0.0,0.0,1.0,0.0,0.0,819.786
3117.147,0.0,1894.728,2.0,0.0,1.0,9038.898000000001
831.798,0.0,776.49,2.0,0.0,2.0,1608.288
1144.275,0.0,0.0,1.0,0.0,0.0,1144.275
692.472,667.755,798.6990000000001,1.0,1.0,1.0,2726.262
359.634,401.94,0.0,1.0,1.0,0.0,761.5740000000001
522.159,1008.348,0.0,1.0,1.0,0.0,1530.507
751.4100000000001,1007.292,0.0,1.0,1.0,0.0,1758.7020000000002
336.59999999999997,6.93,355.311,1.0,1.0,1.0,698.8409999999999
3563.439,0.0,4130.016,2.0,0.0,2.0,13733.478
540.54,0.0,395.43899999999996,1.0,0.0,1.0,935.9789999999999
1558.194,0.0,0.0,1.0,0.0,0.0,1558.194
977.625,0.0,0.0,1.0,0.0,0.0,977.625
3360.192,0.0,0.0,1.0,0.0,0.0,3360.192
2032.47,0.0,0.0,1.0,0.0,0.0,3018.675
986.337,0.0,0.0,1.0,0.0,0.0,986.337
382.899,0.0,0.0,1.0,0.0,0.0,382.899
1737.714,0.0,0.0,3.0,0.0,0.0,1737.714
914.595,0.0,0.0,1.0,0.0,0.0,914.595
197.67,0.0,0.0,1.0,0.0,0.0,197.67
1783.122,0.0,198.0,3.0,0.0,1.0,2622.642
613.8,0.0,0.0,1.0,0.0,0.0,1696.695
1123.848,874.566,0.0,1.0,1.0,0.0,1998.414
362.043,582.9780000000001,0.0,1.0,1.0,0.0,1320.33
1016.4,0.0,0.0,2.0,0.0,0.0,2239.908
514.569,0.0,0.0,1.0,0.0,0.0,514.569
638.55,0.0,0.0,1.0,0.0,0.0,1661.055
449.79,376.20000000000005,353.1,1.0,1.0,1.0,1179.0900000000001
1003.101,0.0,0.0,1.0,0.0,0.0,1003.101
331.65,0.0,0.0,1.0,0.0,0.0,331.65
949.245,0.0,0.0,2.0,0.0,0.0,949.245
1007.985,0.0,0.0,1.0,0.0,0.0,1007.985
4909.6410000000005,1424.445,3001.977,2.0,1.0,3.0,13680.216
1035.276,0.0,870.276,1.0,0.0,2.0,1905.5520000000001
1594.56,0.0,0.0,1.0,0.0,0.0,1594.56
1324.917,0.0,2015.904,1.0,0.0,1.0,5452.853999999999
6415.002,0.0,0.0,1.0,0.0,0.0,6415.002
302.94,0.0,0.0,1.0,0.0,0.0,302.94
481.47,0.0,0.0,1.0,0.0,0.0,481.47
1305.579,0.0,0.0,1.0,0.0,0.0,1305.579
1001.5500000000001,1006.17,0.0,1.0,1.0,0.0,2007.72
264.0,0.0,4785.0,1.0,0.0,5.0,5049.0
2121.174,0.0,0.0,2.0,0.0,0.0,4759.128000000001
1352.769,0.0,0.0,1.0,0.0,0.0,1352.769
595.98,0.0,0.0,1.0,0.0,0.0,595.98
1861.992,0.0,1328.151,2.0,0.0,1.0,4883.109
500.478,0.0,0.0,1.0,0.0,0.0,1386.264
1278.651,0.0,0.0,1.0,0.0,0.0,1278.651
269.28,0.0,0.0,1.0,0.0,0.0,269.28
7810.374,11563.596,5191.527,2.0,1.0,2.0,47563.263
2286.7019999999998,0.0,0.0,1.0,0.0,0.0,2286.7019999999998
251.85600000000002,0.0,0.0,1.0,0.0,0.0,251.85600000000002
3409.3289999999997,0.0,0.0,3.0,0.0,0.0,3409.3289999999997
578.16,0.0,0.0,1.0,0.0,0.0,578.16
707.85,0.0,0.0,1.0,0.0,0.0,707.85
970.86,0.0,0.0,1.0,0.0,0.0,970.86
6196.806,1009.173,1100.8799999999999,5.0,1.0,1.0,12650.649
1378.377,0.0,0.0,1.0,0.0,0.0,1378.377
374.484,0.0,0.0,1.0,0.0,0.0,537.042
334.521,409.233,0.0,1.0,1.0,0.0,743.754
1375.077,0.0,960.3,1.0,0.0,1.0,2335.377
1995.675,0.0,0.0,1.0,0.0,0.0,1995.675
2230.4700000000003,4313.199,1675.938,2.0,3.0,2.0,8219.607
3852.453,0.0,0.0,1.0,0.0,0.0,6030.915
499.95,0.0,0.0,1.0,0.0,0.0,499.95
171.60000000000002,0.0,0.0,2.0,0.0,0.0,171.60000000000002
455.07,0.0,0.0,1.0,0.0,0.0,455.07
709.5,339.57,0.0,2.0,1.0,0.0,1765.665
262.68,0.0,0.0,1.0,0.0,0.0,262.68
421.047,0.0,0.0,1.0,0.0,0.0,421.047
1898.1599999999999,0.0,0.0,3.0,0.0,0.0,1898.1599999999999
49.5,0.0,0.0,1.0,0.0,0.0,49.5
1274.394,357.456,0.0,1.0,1.0,0.0,1631.85
1439.4270000000001,1674.024,2454.87,5.0,6.0,7.0,16165.677
440.74800000000005,0.0,0.0,1.0,0.0,0.0,440.74800000000005
584.958,0.0,333.927,1.0,0.0,1.0,1937.298
988.02,0.0,1609.575,1.0,0.0,1.0,2597.5950000000003
1699.269,0.0,451.11,1.0,0.0,1.0,2150.379
1353.594,0.0,0.0,1.0,0.0,0.0,2698.245
746.2620000000001,0.0,0.0,1.0,0.0,0.0,1285.152
716.76,0.0,0.0,1.0,0.0,0.0,716.76
1152.03,0.0,0.0,1.0,0.0,0.0,1152.03
1134.87,587.07,1011.7800000000001,1.0,1.0,1.0,4533.8369999999995
439.725,0.0,0.0,1.0,0.0,0.0,439.725
1568.721,0.0,0.0,1.0,0.0,0.0,1568.721
942.48,0.0,0.0,1.0,0.0,0.0,942.48
1547.04,0.0,0.0,1.0,0.0,0.0,1547.04
652.74,0.0,0.0,1.0,0.0,0.0,1143.78
344.025,329.175,420.75,1.0,1.0,1.0,1425.93
2291.058,0.0,1170.3780000000002,1.0,0.0,1.0,4588.452
770.385,0.0,0.0,1.0,0.0,0.0,770.385
1035.54,0.0,0.0,1.0,0.0,0.0,1035.54
1473.846,0.0,0.0,1.0,0.0,0.0,1473.846
309.87,0.0,0.0,1.0,0.0,0.0,309.87
1303.83,0.0,0.0,1.0,0.0,0.0,1952.808
1038.279,0.0,0.0,1.0,0.0,0.0,1038.279
365.64,0.0,0.0,1.0,0.0,0.0,365.64
944.625,0.0,891.66,1.0,0.0,1.0,3313.695
1024.4850000000001,0.0,0.0,1.0,0.0,0.0,1024.4850000000001
730.62,1184.37,0.0,1.0,1.0,0.0,3786.057
74.58,0.0,0.0,1.0,0.0,0.0,74.58
1141.536,0.0,995.874,1.0,0.0,1.0,2137.41
2170.41,0.0,2396.13,1.0,0.0,1.0,4566.54
721.116,0.0,0.0,1.0,0.0,0.0,721.116
1101.342,0.0,0.0,1.0,0.0,0.0,1101.342
338.778,0.0,0.0,1.0,0.0,0.0,1107.183
848.826,0.0,0.0,1.0,0.0,0.0,1546.9409999999998
1452.66,0.0,0.0,1.0,0.0,0.0,1452.66
207.405,0.0,0.0,1.0,0.0,0.0,207.405
1615.6799999999998,0.0,0.0,1.0,0.0,0.0,1615.6799999999998
969.111,0.0,0.0,2.0,0.0,0.0,969.111
383.46000000000004,0.0,0.0,1.0,0.0,0.0,383.46000000000004
1090.65,0.0,0.0,1.0,0.0,0.0,1090.65
1772.991,1187.835,438.9,3.0,2.0,1.0,6658.971
322.179,0.0,0.0,1.0,0.0,0.0,322.179
1359.171,1115.136,0.0,1.0,1.0,0.0,2474.307
1300.794,0.0,0.0,1.0,0.0,0.0,2201.529
1047.354,0.0,1053.096,1.0,0.0,1.0,4102.692
637.659,0.0,0.0,1.0,0.0,0.0,1276.605
1555.29,0.0,0.0,1.0,0.0,0.0,5704.907999999999
1256.805,0.0,328.185,2.0,0.0,1.0,1584.99
2320.725,0.0,0.0,1.0,0.0,0.0,2320.725
1054.02,0.0,0.0,1.0,0.0,0.0,1054.02
725.967,1184.865,0.0,1.0,1.0,0.0,1910.8319999999999
2645.28,0.0,0.0,1.0,0.0,0.0,3651.1200000000003
3492.951,0.0,0.0,1.0,0.0,0.0,3492.951
1035.21,1547.865,0.0,1.0,2.0,0.0,6142.2570000000005
767.085,1130.613,0.0,2.0,1.0,0.0,2800.1490000000003
24.75,0.0,0.0,1.0,0.0,0.0,24.75
478.665,0.0,0.0,1.0,0.0,0.0,478.665
1365.507,0.0,0.0,1.0,0.0,0.0,2305.215
1851.828,1397.0880000000002,1206.48,1.0,1.0,1.0,4455.396000000001
2806.023,1366.992,0.0,1.0,1.0,0.0,4173.015
2532.321,787.611,2294.985,1.0,1.0,2.0,7721.109
1650.462,0.0,0.0,2.0,0.0,0.0,1650.462
253.176,319.73699999999997,0.0,1.0,2.0,0.0,572.913
2363.856,0.0,0.0,1.0,0.0,0.0,2363.856
493.812,0.0,0.0,2.0,0.0,0.0,493.812
1018.215,675.774,919.05,1.0,1.0,1.0,3445.266
506.55,0.0,642.015,1.0,0.0,1.0,1148.565
1016.0699999999999,0.0,0.0,1.0,0.0,0.0,1016.0699999999999
444.51,0.0,0.0,1.0,0.0,0.0,444.51
1883.508,0.0,0.0,1.0,0.0,0.0,1883.508
547.8,2495.163,0.0,1.0,2.0,0.0,3624.291
3705.174,1910.865,2626.4700000000003,3.0,2.0,2.0,16684.272
791.868,0.0,0.0,1.0,0.0,0.0,791.868
2384.184,0.0,0.0,2.0,0.0,0.0,2384.184
1663.596,0.0,0.0,2.0,0.0,0.0,1663.596
2922.084,7707.843,0.0,2.0,1.0,0.0,20180.325
996.27,0.0,0.0,1.0,0.0,0.0,996.27
1068.243,1013.7600000000001,7334.745,1.0,1.0,3.0,17721.99
1419.231,369.27,0.0,2.0,1.0,0.0,3144.933
1726.065,0.0,0.0,1.0,0.0,0.0,5209.611
