iter	Passed	Remaining
0	53	53771
1	59	29588
2	63	21148
3	67	16894
4	72	14328
5	75	12495
6	78	11184
7	81	10130
8	85	9433
9	89	8900
10	93	8417
11	96	7941
12	99	7572
13	103	7303
14	107	7062
15	111	6852
16	115	6655
17	117	6408
18	121	6298
19	126	6182
20	130	6070
21	134	5960
22	138	5868
23	142	5774
24	143	5609
25	147	5527
26	151	5460
27	156	5417
28	159	5346
29	163	5282
30	167	5223
31	170	5168
32	174	5114
33	179	5086
34	182	5045
35	185	4969
36	191	4978
37	195	4941
38	199	4906
39	202	4867
40	206	4824
41	209	4782
42	211	4712
43	214	4665
44	218	4636
45	219	4562
46	223	4538
47	227	4505
48	230	4479
49	234	4453
50	238	4431
51	241	4410
52	245	4391
53	249	4367
54	252	4341
55	257	4337
56	260	4315
57	265	4313
58	269	4298
59	273	4287
60	277	4266
61	281	4259
62	285	4251
63	289	4238
64	293	4220
65	297	4216
66	301	4200
67	304	4176
68	308	4165
69	312	4152
70	314	4114
71	316	4076
72	320	4071
73	325	4071
74	329	4063
75	332	4040
76	334	4013
77	337	3993
78	342	3989
79	345	3977
80	350	3975
81	354	3968
82	358	3955
83	361	3941
84	365	3930
85	369	3928
86	373	3921
87	378	3917
88	381	3909
89	385	3899
90	390	3897
91	392	3869
92	395	3857
93	399	3847
94	402	3835
95	407	3835
96	411	3830
97	413	3805
98	417	3803
99	422	3800
100	426	3794
101	428	3773
102	430	3753
103	434	3745
104	438	3735
105	442	3728
106	446	3723
107	449	3714
108	454	3712
109	457	3701
110	461	3692
111	463	3676
112	467	3671
113	471	3661
114	474	3654
115	478	3642
116	482	3639
117	486	3635
118	490	3630
119	494	3624
120	498	3623
121	503	3620
122	507	3615
123	510	3609
124	515	3606
125	519	3600
126	521	3585
127	526	3584
128	530	3579
129	533	3572
130	536	3559
131	541	3558
132	545	3556
133	548	3547
134	552	3540
135	556	3533
136	559	3525
137	564	3527
138	569	3526
139	573	3521
140	576	3513
141	580	3508
142	584	3502
143	588	3495
144	591	3490
145	595	3486
146	599	3481
147	602	3465
148	604	3450
149	608	3450
150	612	3442
151	616	3437
152	620	3433
153	624	3428
154	628	3424
155	632	3422
156	636	3418
157	640	3410
158	643	3406
159	646	3393
160	650	3388
161	652	3373
162	655	3367
163	659	3362
164	663	3358
165	667	3354
166	672	3355
167	674	3341
168	678	3335
169	682	3333
170	686	3326
171	689	3319
172	693	3312
173	697	3310
174	701	3306
175	705	3302
176	709	3298
177	713	3295
178	717	3292
179	721	3288
180	725	3283
181	727	3271
182	732	3268
183	735	3262
184	738	3253
185	742	3248
186	746	3244
187	750	3239
188	754	3235
189	758	3234
190	763	3234
191	768	3234
192	772	3230
193	776	3226
194	780	3224
195	785	3221
196	789	3216
197	793	3215
198	797	3211
199	801	3206
200	805	3203
201	809	3199
202	814	3195
203	817	3189
204	821	3186
205	826	3183
206	829	3179
207	834	3176
208	838	3171
209	841	3167
210	846	3165
211	850	3161
212	855	3160
213	860	3158
214	863	3153
215	867	3149
216	872	3149
217	876	3144
218	881	3142
219	885	3137
220	888	3132
221	893	3129
222	897	3126
223	901	3121
224	905	3118
225	909	3116
226	914	3112
227	918	3109
228	922	3104
229	926	3101
230	930	3099
231	935	3096
232	939	3092
233	943	3088
234	948	3086
235	952	3082
236	956	3078
237	960	3076
238	964	3071
239	968	3067
240	972	3063
241	977	3061
242	981	3056
243	985	3054
244	990	3051
245	995	3049
246	999	3046
247	1003	3042
248	1007	3037
249	1012	3037
250	1016	3033
251	1021	3030
252	1026	3029
253	1030	3025
254	1034	3022
255	1038	3018
256	1042	3014
257	1046	3010
258	1051	3007
259	1055	3004
260	1059	3000
261	1063	2995
262	1067	2991
263	1072	2989
264	1077	2987
265	1080	2982
266	1085	2980
267	1090	2979
268	1094	2974
269	1098	2969
270	1102	2966
271	1106	2962
272	1110	2957
273	1114	2953
274	1119	2951
275	1123	2947
276	1127	2943
277	1131	2938
278	1136	2936
279	1140	2933
280	1145	2929
281	1150	2928
282	1154	2926
283	1158	2921
284	1162	2917
285	1166	2912
286	1170	2908
287	1174	2903
288	1179	2902
289	1184	2899
290	1188	2895
291	1192	2891
292	1196	2887
293	1200	2883
294	1205	2880
295	1209	2877
296	1214	2873
297	1218	2870
298	1222	2867
299	1226	2862
300	1231	2860
301	1235	2856
302	1240	2852
303	1244	2848
304	1248	2844
305	1253	2841
306	1257	2837
307	1261	2833
308	1265	2830
309	1269	2826
310	1273	2821
311	1277	2817
312	1282	2815
313	1286	2811
314	1291	2808
315	1296	2805
316	1300	2802
317	1304	2797
318	1308	2793
319	1312	2789
320	1317	2786
321	1322	2783
322	1326	2779
323	1330	2775
324	1334	2770
325	1338	2768
326	1343	2764
327	1346	2759
328	1350	2754
329	1355	2751
330	1359	2747
331	1363	2743
332	1367	2740
333	1371	2735
334	1375	2731
335	1379	2726
336	1384	2724
337	1389	2721
338	1393	2716
339	1397	2712
340	1401	2708
341	1404	2702
342	1409	2698
343	1413	2694
344	1417	2691
345	1422	2687
346	1426	2684
347	1430	2680
348	1434	2676
349	1439	2672
350	1443	2668
351	1447	2664
352	1452	2661
353	1456	2657
354	1460	2654
355	1465	2650
356	1469	2645
357	1473	2643
358	1478	2639
359	1483	2636
360	1487	2632
361	1490	2627
362	1494	2623
363	1499	2619
364	1503	2614
365	1507	2611
366	1512	2608
367	1516	2603
368	1520	2599
369	1524	2594
370	1527	2589
371	1532	2586
372	1536	2582
373	1541	2579
374	1545	2575
375	1549	2571
376	1553	2567
377	1557	2563
378	1561	2558
379	1566	2555
380	1569	2550
381	1573	2546
382	1578	2542
383	1582	2539
384	1587	2536
385	1592	2533
386	1597	2530
387	1601	2526
388	1607	2524
389	1611	2519
390	1615	2516
391	1619	2511
392	1623	2506
393	1627	2503
394	1631	2499
395	1636	2496
396	1640	2492
397	1645	2488
398	1649	2484
399	1653	2480
400	1657	2476
401	1662	2472
402	1667	2469
403	1672	2466
404	1676	2462
405	1680	2458
406	1684	2454
407	1688	2450
408	1693	2446
409	1697	2442
410	1701	2438
411	1706	2435
412	1710	2431
413	1715	2427
414	1720	2424
415	1724	2420
416	1728	2416
417	1732	2412
418	1736	2408
419	1740	2403
420	1745	2399
421	1749	2395
422	1753	2392
423	1758	2388
424	1762	2385
425	1767	2381
426	1771	2377
427	1777	2375
428	1782	2372
429	1786	2368
430	1791	2364
431	1795	2360
432	1799	2356
433	1804	2352
434	1808	2349
435	1812	2344
436	1817	2341
437	1821	2336
438	1825	2332
439	1829	2328
440	1833	2324
441	1837	2319
442	1842	2316
443	1848	2314
444	1852	2310
445	1858	2307
446	1862	2303
447	1866	2299
448	1870	2295
449	1875	2292
450	1879	2287
451	1884	2284
452	1888	2280
453	1892	2276
454	1897	2272
455	1901	2268
456	1906	2264
457	1910	2260
458	1914	2256
459	1918	2252
460	1923	2248
461	1928	2245
462	1932	2241
463	1936	2237
464	1941	2233
465	1946	2230
466	1950	2225
467	1953	2221
468	1957	2216
469	1961	2212
470	1966	2208
471	1970	2204
472	1974	2200
473	1978	2195
474	1982	2191
475	1987	2187
476	1991	2183
477	1995	2179
478	2000	2175
479	2004	2171
480	2008	2167
481	2012	2162
482	2016	2158
483	2020	2154
484	2025	2151
485	2029	2146
486	2034	2142
487	2038	2138
488	2043	2135
489	2048	2131
490	2052	2127
491	2055	2122
492	2060	2118
493	2065	2115
494	2069	2111
495	2074	2107
496	2078	2103
497	2083	2099
498	2087	2096
499	2092	2092
500	2096	2088
501	2100	2084
502	2105	2080
503	2109	2076
504	2114	2072
505	2118	2068
506	2122	2063
507	2126	2059
508	2131	2056
509	2135	2051
510	2139	2047
511	2143	2043
512	2148	2039
513	2153	2035
514	2158	2032
515	2161	2027
516	2166	2023
517	2170	2019
518	2174	2015
519	2179	2011
520	2183	2007
521	2187	2003
522	2191	1998
523	2195	1994
524	2199	1989
525	2203	1985
526	2207	1981
527	2211	1976
528	2215	1972
529	2219	1968
530	2223	1964
531	2228	1960
532	2232	1955
533	2236	1952
534	2242	1948
535	2246	1944
536	2250	1940
537	2255	1936
538	2259	1932
539	2263	1928
540	2267	1923
541	2271	1919
542	2275	1915
543	2280	1911
544	2284	1907
545	2289	1903
546	2292	1898
547	2298	1895
548	2302	1891
549	2306	1887
550	2310	1882
551	2315	1879
552	2319	1875
553	2323	1870
554	2328	1866
555	2332	1862
556	2336	1858
557	2340	1854
558	2345	1850
559	2349	1846
560	2353	1841
561	2358	1837
562	2363	1834
563	2366	1829
564	2371	1825
565	2375	1821
566	2380	1818
567	2385	1814
568	2390	1810
569	2394	1806
570	2399	1802
571	2404	1799
572	2410	1796
573	2415	1792
574	2419	1788
575	2423	1784
576	2428	1780
577	2432	1776
578	2436	1771
579	2440	1767
580	2444	1763
581	2449	1758
582	2453	1754
583	2457	1750
584	2461	1746
585	2466	1742
586	2471	1738
587	2475	1734
588	2479	1730
589	2483	1725
590	2487	1721
591	2492	1717
592	2496	1713
593	2500	1709
594	2504	1704
595	2508	1700
596	2513	1696
597	2517	1692
598	2521	1687
599	2525	1683
600	2530	1679
601	2534	1675
602	2539	1671
603	2544	1667
604	2548	1664
605	2554	1660
606	2558	1656
607	2562	1652
608	2566	1648
609	2570	1643
610	2574	1639
611	2578	1634
612	2582	1630
613	2587	1626
614	2591	1622
615	2596	1618
616	2600	1614
617	2606	1610
618	2610	1606
619	2614	1602
620	2618	1598
621	2622	1593
622	2626	1589
623	2630	1585
624	2635	1581
625	2639	1576
626	2644	1573
627	2648	1568
628	2652	1564
629	2656	1560
630	2661	1556
631	2665	1552
632	2670	1548
633	2674	1543
634	2678	1539
635	2682	1535
636	2687	1531
637	2691	1527
638	2695	1522
639	2699	1518
640	2703	1514
641	2708	1510
642	2713	1506
643	2717	1502
644	2722	1498
645	2726	1494
646	2731	1490
647	2735	1486
648	2739	1481
649	2744	1477
650	2748	1473
651	2752	1469
652	2756	1464
653	2760	1460
654	2764	1456
655	2768	1451
656	2773	1447
657	2777	1443
658	2781	1439
659	2786	1435
660	2790	1431
661	2794	1427
662	2799	1422
663	2804	1418
664	2808	1414
665	2812	1410
666	2816	1406
667	2820	1401
668	2825	1397
669	2829	1393
670	2833	1389
671	2837	1384
672	2841	1380
673	2845	1376
674	2849	1371
675	2853	1367
676	2858	1363
677	2862	1359
678	2866	1355
679	2870	1351
680	2874	1346
681	2879	1342
682	2883	1338
683	2887	1333
684	2891	1329
685	2896	1325
686	2900	1321
687	2904	1317
688	2909	1313
689	2913	1308
690	2918	1305
691	2922	1300
692	2926	1296
693	2930	1292
694	2935	1288
695	2939	1284
696	2943	1279
697	2948	1275
698	2951	1271
699	2955	1266
700	2959	1262
701	2963	1258
702	2967	1253
703	2971	1249
704	2975	1245
705	2980	1241
706	2985	1237
707	2989	1232
708	2993	1228
709	2997	1224
710	3001	1219
711	3006	1215
712	3009	1211
713	3013	1207
714	3019	1203
715	3023	1199
716	3028	1195
717	3031	1190
718	3035	1186
719	3039	1182
720	3044	1178
721	3049	1174
722	3053	1169
723	3057	1165
724	3061	1161
725	3066	1157
726	3070	1153
727	3075	1148
728	3078	1144
729	3083	1140
730	3087	1136
731	3091	1131
732	3095	1127
733	3100	1123
734	3104	1119
735	3108	1115
736	3112	1110
737	3116	1106
738	3120	1102
739	3125	1098
740	3129	1093
741	3132	1089
742	3137	1085
743	3142	1081
744	3146	1076
745	3150	1072
746	3155	1068
747	3159	1064
748	3163	1060
749	3167	1055
750	3171	1051
751	3176	1047
752	3180	1043
753	3184	1038
754	3188	1034
755	3192	1030
756	3196	1025
757	3200	1021
758	3204	1017
759	3208	1013
760	3213	1009
761	3217	1004
762	3222	1000
763	3226	996
764	3230	992
765	3235	988
766	3239	984
767	3243	979
768	3247	975
769	3251	971
770	3255	966
771	3259	962
772	3264	958
773	3268	954
774	3272	950
775	3277	946
776	3281	941
777	3285	937
778	3289	933
779	3293	928
780	3298	925
781	3303	920
782	3307	916
783	3311	912
784	3315	908
785	3319	903
786	3324	899
787	3329	895
788	3333	891
789	3337	887
790	3342	883
791	3346	878
792	3351	874
793	3355	870
794	3359	866
795	3363	861
796	3367	857
797	3371	853
798	3375	849
799	3379	844
800	3384	840
801	3388	836
802	3392	832
803	3397	828
804	3401	824
805	3405	819
806	3409	815
807	3413	811
808	3417	806
809	3421	802
810	3425	798
811	3430	794
812	3434	789
813	3438	785
814	3443	781
815	3448	777
816	3452	773
817	3456	769
818	3461	765
819	3466	760
820	3470	756
821	3475	752
822	3479	748
823	3483	743
824	3487	739
825	3491	735
826	3496	731
827	3500	727
828	3504	722
829	3508	718
830	3512	714
831	3516	710
832	3520	705
833	3524	701
834	3529	697
835	3534	693
836	3538	689
837	3542	684
838	3546	680
839	3551	676
840	3555	672
841	3560	668
842	3564	663
843	3569	659
844	3573	655
845	3577	651
846	3581	646
847	3587	642
848	3591	638
849	3595	634
850	3599	630
851	3603	626
852	3607	621
853	3612	617
854	3616	613
855	3620	609
856	3625	604
857	3629	600
858	3633	596
859	3637	592
860	3642	588
861	3647	583
862	3652	579
863	3656	575
864	3660	571
865	3664	567
866	3669	562
867	3673	558
868	3677	554
869	3682	550
870	3686	545
871	3690	541
872	3694	537
873	3698	533
874	3702	528
875	3707	524
876	3711	520
877	3715	516
878	3719	512
879	3723	507
880	3728	503
881	3732	499
882	3737	495
883	3741	490
884	3745	486
885	3749	482
886	3753	478
887	3758	474
888	3763	469
889	3767	465
890	3773	461
891	3777	457
892	3782	453
893	3786	448
894	3790	444
895	3794	440
896	3800	436
897	3804	432
898	3808	427
899	3812	423
900	3817	419
901	3822	415
902	3825	410
903	3829	406
904	3833	402
905	3837	398
906	3841	393
907	3846	389
908	3850	385
909	3855	381
910	3859	377
911	3863	372
912	3867	368
913	3871	364
914	3875	360
915	3879	355
916	3883	351
917	3888	347
918	3892	343
919	3896	338
920	3900	334
921	3905	330
922	3909	326
923	3913	321
924	3917	317
925	3922	313
926	3926	309
927	3931	305
928	3936	300
929	3940	296
930	3944	292
931	3948	288
932	3952	283
933	3956	279
934	3961	275
935	3966	271
936	3970	266
937	3974	262
938	3979	258
939	3984	254
940	3988	250
941	3993	245
942	3997	241
943	4001	237
944	4006	233
945	4011	228
946	4016	224
947	4020	220
948	4025	216
949	4029	212
950	4034	207
951	4038	203
952	4043	199
953	4049	195
954	4054	191
955	4058	186
956	4063	182
957	4067	178
958	4071	174
959	4075	169
960	4080	165
961	4084	161
962	4088	157
963	4093	152
964	4097	148
965	4102	144
966	4107	140
967	4111	135
968	4115	131
969	4119	127
970	4123	123
971	4128	118
972	4131	114
973	4135	110
974	4140	106
975	4144	101
976	4148	97
977	4153	93
978	4157	89
979	4161	84
980	4166	80
981	4170	76
982	4174	72
983	4179	67
984	4183	63
985	4188	59
986	4192	55
987	4197	50
988	4202	46
989	4206	42
990	4210	38
991	4214	33
992	4218	29
993	4222	25
994	4226	21
995	4230	16
996	4235	12
997	4240	8
998	4244	4
999	4248	0
